,title,description,publishedAt,videoId,liveBroadcastContent
84,Euvimarcos toca maluco beleza,,2020-06-14T03:29:53Z,h274nYua4sU,none
85,Shorts Reveja os Relatos Viajados da Argetina,7191934856207568134.,2023-01-23T19:48:42Z,QWuh8EEoECA,none
86,"Pôr do Sol, praia ferrugem, Garopaba, SC (dia do ciclone)",,2020-07-07T05:20:10Z,cklSmB15Wtw,none
87,Campo Grande - Morro do Ernesto,Created by InShot:https://inshotapp.com/share/youtube.html.,2020-09-06T22:34:21Z,HYqitZbV6qU,none
88,"Shorts Curitiba, PR 2020","viagem de moto pelo Brasil, Curitiba #CapCut #curitiba #moto #vamoslonge #nomadedigital #turismo #viagemdemoto #mototrip ...",2023-02-10T16:51:43Z,H2DQYhCX8t8,none
89,"Shorts São Paulo, Pandemia 2020",minha vida em São Paulo antes de viajar por 3 anos pelo Brasil e América Latina #moto #mototrip #viagemdemoto #turismo ...,2023-01-22T19:51:54Z,r2n2JXlxpV4,none
90,"Adrenalive - De Ubatuba a São Luiz, ao vivo na Tornado","Para transmitir ao vivo pelo protocolo RTMP sem queda, usando 2 chips em 2 celulares com hotspot.",2022-06-06T06:46:43Z,I0y-vQBCxiw,none
91,Shorts Ubatuba de Tornado em 2019,testando formatos de vídeos... gostou? #moto #tornado #mototrip #viagemdemoto #lobosolitario #lonelywolf #turismo ...,2023-01-16T21:58:11Z,xLxoibcyvzA,none
92,"Atravessando a fronteira, ponte sobre rio Paraná, de Tornado 250",,2020-08-13T02:09:37Z,Tyzm2qqPCQQ,none
93,Camila mergulha na praia de Sepultura,,2020-06-17T03:42:04Z,kWHVsUcWG8o,none
94,"De Guaíra, PR, a Dourados, MS, de Tornado 250",,2020-08-13T03:53:58Z,8i-2aMMbnnc,none
95,Barco Ancorado em São Chico,,2020-06-10T17:02:52Z,i1lh_atZA-w,none
96,Adrenalive - Chegando em São Paulo de moto pela Dutra,"Para transmitir ao vivo pelo protocolo RTMP sem queda, usando 2 chips em 2 celulares com hotspot.",2022-06-07T12:15:38Z,uOUQUNuiYZg,none
97,Adrenalive no ar - role de moto ao vivo!,Venha comigo na moto.,2022-06-10T17:21:28Z,-EXIqV1WkQ8,none
98,Transmissão ao vivo da minha #GoPro,,2023-06-25T22:22:54Z,O9AnH4YUw00,none
99,Bombinhas SC - 1,"Explorando praia da quatro ilhas, Lagoinha e Sepultura.",2020-06-17T03:09:37Z,ojqqHZpAW7Q,none
100,Floripa 11 - Trilha da Costa da Lagoa,,2020-06-29T16:45:23Z,5QlKcpuwoZ8,none
101,sk8 or die,,2020-10-28T22:52:56Z,I_uWDdddBX8,none
102,Pirenópolis - Cachoeira Usina Velha,,2020-10-04T02:32:32Z,vs44cvPkN9E,none
103,Adrenalive no ar - role de moto ao vivo!,Venha comigo na moto.,2022-06-11T07:07:45Z,9g6g0LzDdmw,none
104,Apresentação do Vamoslonge,Canal de aventura sem rumo e muitas vezes sem sentido.,2020-06-09T17:25:57Z,jfUbpu04LEQ,none
105,Adrenalive no ar - role de moto ao vivo!,Venha comigo na moto.,2022-06-13T03:11:50Z,n47XB5Iih50,none
